1,0,channel,peak cts,energy
2,0,287,43089,662
3,0,495,7342,1172
4,0,557,5671,1332
5,0,,,
6,0,1225427,,
7,0,,,
8,0,,,
9,0,,,
10,0,,,
11,0,,,
12,0,,,
13,0,,,
14,0,,,
15,0,,,
16,0,,,
17,0,,,
18,0,,,
19,0,,,
20,0,,,
21,0,,,
22,0,,,
23,0,,,
24,0,,,
25,0,,,
26,0,,,
27,0,,,
28,0,,,
29,0,,,
30,0,,,
31,0,,,
32,0,,,
33,0,,,
34,0,,,
35,0,,,
36,0,,,
37,0,,,
38,0,,,
39,0,,,
40,2,,,
41,40,,,
42,108,,,
43,244,,,
44,354,,,
45,434,,,
46,594,,,
47,756,,,
48,836,,,
49,999,,,
50,1057,,,
51,1227,,,
52,1350,,,
53,1443,,,
54,1522,,,
55,1688,,,
56,1915,,,
57,2021,,,
58,2126,,,
59,2378,,,
60,2993,,,
61,4056,,,
62,5261,,,
63,6672,,,
64,8545,,,
65,9418,,,
66,10792,,,
67,12055,,,
68,13151,,,
69,14044,,,
70,14982,,,
71,15184,,,
72,15610,,,
73,15736,,,
74,15695,,,
75,15730,,,
76,15709,,,
77,15962,,,
78,15819,,,
79,15895,,,
80,15851,,,
81,15974,,,
82,15776,,,
83,15809,,,
84,15797,,,
85,16062,,,
86,16354,,,
87,16249,,,
88,16997,,,
89,16870,,,
90,17112,,,
91,17472,,,
92,17697,,,
93,18168,,,
94,18362,,,
95,18763,,,
96,18841,,,
97,18987,,,
98,19497,,,
99,19240,,,
100,19450,,,
101,19565,,,
102,19729,,,
103,19935,,,
104,19814,,,
105,19914,,,
106,20154,,,
107,19899,,,
108,19711,,,
109,20084,,,
110,19784,,,
111,19554,,,
112,19431,,,
113,19423,,,
114,19000,,,
115,18892,,,
116,18693,,,
117,18691,,,
118,18287,,,
119,18158,,,
120,18128,,,
121,17971,,,
122,17799,,,
123,17566,,,
124,17287,,,
125,17450,,,
126,17065,,,
127,16712,,,
128,16681,,,
129,16669,,,
130,16552,,,
131,16368,,,
132,16203,,,
133,16029,,,
134,15704,,,
135,15822,,,
136,15559,,,
137,15540,,,
138,15215,,,
139,15441,,,
140,15313,,,
141,15002,,,
142,15004,,,
143,14981,,,
144,14691,,,
145,14452,,,
146,14332,,,
147,14237,,,
148,14020,,,
149,14008,,,
150,14075,,,
151,13874,,,
152,14099,,,
153,13568,,,
154,13637,,,
155,13489,,,
156,13520,,,
157,13365,,,
158,13205,,,
159,13215,,,
160,13034,,,
161,13069,,,
162,13147,,,
163,13144,,,
164,13043,,,
165,12786,,,
166,12811,,,
167,12782,,,
168,12855,,,
169,12740,,,
170,12737,,,
171,12723,,,
172,12664,,,
173,12593,,,
174,12509,,,
175,12460,,,
176,12534,,,
177,12470,,,
178,12396,,,
179,12681,,,
180,12548,,,
181,12439,,,
182,12184,,,
183,12317,,,
184,12361,,,
185,12145,,,
186,12217,,,
187,12346,,,
188,12141,,,
189,12076,,,
190,11925,,,
191,12139,,,
192,11875,,,
193,11567,,,
194,11560,,,
195,11589,,,
196,11274,,,
197,10988,,,
198,10739,,,
199,10443,,,
200,10387,,,
201,10074,,,
202,9744,,,
203,9564,,,
204,9289,,,
205,8919,,,
206,8622,,,
207,8314,,,
208,8035,,,
209,7890,,,
210,7536,,,
211,7461,,,
212,7232,,,
213,7102,,,
214,6956,,,
215,6938,,,
216,6580,,,
